arbnet_id,name,slug,url,description,modified_date,source
8607,Ilse and Charlie Jobson Natural Playpark,ilse-and-charlie-jobson-natural-playpark,https://arbnet.org/morton-register/ilse-and-charlie-jobson-natural-playpark/,,2026-06-15T16:08:13,ArbNet Morton Register
8603,Jason M. Garvon Arboretum at Kingsley High School,jason-m-garvon-arboretum-at-kingsley-high-school,https://arbnet.org/morton-register/jason-m-garvon-arboretum-at-kingsley-high-school/,"Named for noted wildlife biologist and professor, the Jason M Garvon Arboretum is located on Kingsley High School grounds in Kingsley, Michigan.&nbsp; These grounds have served as the high school campus for roughly 27 years now. Encompassing roughly 103 acres, there are 5 distinctive forest types and well over 40 species of trees and shrubs, [&hellip;]",2026-06-16T14:27:55,ArbNet Morton Register
8569,Luthy Botanical Garden,luthy-botanical-garden,https://arbnet.org/morton-register/luthy-botanical-garden/,,2026-06-10T13:13:22,ArbNet Morton Register
8567,Woodcock Demonstration Garden And Arboretum,woodcock-demonstration-garden-and-arboretum,https://arbnet.org/morton-register/woodcock-demonstration-garden-and-arboretum/,,2026-06-10T10:26:26,ArbNet Morton Register
8556,Harrisburg Cemetery Arboretum,harrisburg-cemetery-arboretum,https://arbnet.org/morton-register/harrisburg-cemetery-arboretum/,,2026-06-09T13:40:17,ArbNet Morton Register
8551,Presbyterian College Arboretum,presbyterian-college-arboretum,https://arbnet.org/morton-register/presbyterian-college-arboretum/,,2026-06-09T11:21:13,ArbNet Morton Register
8525,Pasadena Hills,pasadena-hills,https://arbnet.org/morton-register/pasadena-hills/,"Pasadena Hills, Missouri is a Tree City of approximately 900 people on 140 acres of rolling hills about a mile northwest of the City of St. Louis. The diverse community is known for its mature trees, Historic District status, and its range of architectural styles, including an impressive Gothic Revival entrance tower. Active garden clubs [&hellip;]",2026-06-10T07:39:35,ArbNet Morton Register
8517,Arboretum Ambutun,arboretum-ambutun,https://arbnet.org/morton-register/arboretum-ambutun/,"Nestled in the foothills of the Meratus Mountains of South Kalimantan, Arboretum Ambutun is a living conservation landscape dedicated to safeguarding the rich botanical heritage of Borneo. Situated along a wildlife movement corridor and adjacent to areas affected by mining activities, the arboretum plays an increasingly important role in biodiversity conservation, ecological restoration, environmental education, [&hellip;]",2026-06-05T08:31:43,ArbNet Morton Register
8505,Jacob’s Nature Park at Sinking Creek,jacobs-nature-park-at-sinking-creek-2,https://arbnet.org/morton-register/jacobs-nature-park-at-sinking-creek-2/,,2026-06-01T13:43:41,ArbNet Morton Register
8494,Wolcott Lilac Gardens,wolcott-lilac-gardens,https://arbnet.org/morton-register/wolcott-lilac-gardens/,,2026-05-29T11:41:42,ArbNet Morton Register
8491,Mindo Lindo Reserve,mindo-lindo-reserve,https://arbnet.org/morton-register/mindo-lindo-reserve/,,2026-05-29T10:12:27,ArbNet Morton Register
8480,Longview Arboretum and Nature Center,longview-arboretum-and-nature-center,https://arbnet.org/morton-register/longview-arboretum-and-nature-center/,"The Longview Arboretum &amp; Nature Center is a 26-acre nonprofit public garden and living outdoor museum located in the heart of East Texas. Established to inspire appreciation for nature, conservation, and environmental education, the Arboretum serves as a gathering place where visitors of all ages can experience the beauty and benefits of the natural world. [&hellip;]",2026-05-27T16:05:56,ArbNet Morton Register
8450,McFarlane Nature Park,mcfarlane-nature-park,https://arbnet.org/morton-register/mcfarlane-nature-park/,"McFarlane Nature Park was established in 1992 through a land donation to The Cobb Land Trust Inc. Since then, volunteers have managed the park with support from community donations. From the beginning, the Trust chose to add only plants and trees native to Georgia’s Piedmont region. The Cobb County Master Gardeners created native plant gardens, [&hellip;]",2026-05-19T13:10:42,ArbNet Morton Register
8446,Historic Congressional Cemetery,historic-congressional-cemetery,https://arbnet.org/morton-register/historic-congressional-cemetery/,"Historic Congressional Cemetery (HCC) is a nonprofit organization, an active burial ground, a community gathering space, and the first cemetery of national memory in the United States. Founded in 1807 on the banks of the Anacostia River, Historic Congressional Cemetery has evolved alongside the nation’s capital for more than two centuries. Today, the 35-acre landscape [&hellip;]",2026-06-02T11:31:15,ArbNet Morton Register
8432,Ark Botanical Garden,ark-botanical-garden,https://arbnet.org/morton-register/ark-botanical-garden/,,2026-05-12T09:25:21,ArbNet Morton Register
8429,Jardín Botánico y Cultural de Caguas,jardin-botanico-y-cultural-de-caguas,https://arbnet.org/morton-register/jardin-botanico-y-cultural-de-caguas/,,2026-05-11T14:54:50,ArbNet Morton Register
