bgci_id,name,name_alt,website,phone,email,latitude,longitude,city,state_province,postal_code,country_code,country,address,open_to_public,year_incorporated,overview,accessions_count,member_bgci,member_abg,member_ipen,botanic_garden_accredited,arbnet_accredited_level,herbarium_code,social_facebook,social_instagram,social_twitter,updated_at,source,attr_access_conservation_policies,attr_advocates_conservation,attr_altitude,attr_audience_development,attr_average_annual_precipitation,attr_biosecurity_best_practices,attr_carbon_reduction_policies,attr_collaborations_conservation,attr_collection_access,attr_community_outreach,attr_conservation_assessment_activities,attr_conservation_expertise_external,attr_conservation_habitat_focus,attr_conservation_horticulture_activities,attr_conservation_non_permanent_budget,attr_conservation_permanent_budget_percentage,attr_conservation_professional_development,attr_conservation_staff_total,attr_conservation_volunteers_total,attr_education_practices,attr_education_resources,attr_education_staff_total,attr_education_topics,attr_energy_saving_techniques,attr_evaluates_conservation_activities,attr_ex_situ_infrastructure,attr_governance_type,attr_horticulture_staff_total,attr_in_situ_best_practices,attr_in_situ_conservation,attr_in_situ_land_area_impact,attr_interpretation_conservation,attr_invasive_species_monitoring,attr_landscaped_area_hectares,attr_living_collections_policy,attr_mission_statement_conservation,attr_natural_area_hectares,attr_non_school_classes,attr_online_learning,attr_operating_budget,attr_organisation_type,attr_plant_conservation_policy,attr_plant_records_database,attr_policy_exists,attr_policy_includes_conservation,attr_research_programmes,attr_research_staff_total,attr_research_volunteers_annual,attr_school_programmes,attr_scientific_research_participant,attr_species_recovery_native,attr_species_recovery_non_native,attr_staff_total,attr_strategies_frameworks,attr_sustainability_certification,attr_sustainability_goal,attr_sustainability_policy,attr_sustainable_food_practices,attr_total_area_hectares,attr_urban_greening_practices,attr_visitors_annual,attr_volunteers_annual,attr_waste_management_practices,attr_water_saving_policies,attr_wild_collection_best_practices,attr_wild_origin_living_percent,attr_wild_origin_seed_bank_percent
1,Jardín Botánico Universidad Autónoma del Morelos,,http://www.uaem.mx,52 (77) 73297029,ecologia@cib.uaem.mx,,,CUERNAVACA Morelos,,C.P. 62210,MX,Mexico,Estudio Floristico Ecologico del Estado de Morelos,,,,0,0,0,0,0,,,,,,2024-02-26T22:21:44.000000Z,BGCI GardenSearch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Jardín Botánico Efraím Hernández Xolocotzi ,,https://www.uanl.mx/,+52 (821) 212 48 95,,24.79722,-99.53902,Linares,,67700,MX,Mexico,Jardín Botánico Efraím Hernández Xolocotzi,,,,0,1,0,0,0,,,,,,2025-04-24T17:41:15.000000Z,BGCI GardenSearch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Jardín Botánico Regional Xiitbal nek',,,,webmas@cicy.mx,,,Mérida,Yucatán,CP 97200,MX,Mexico,"Centro de Investigación Científica de Yucatán, A.C.",,,,0,0,0,0,0,,,,,,2024-02-26T22:21:49.000000Z,BGCI GardenSearch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,INSTITUTO TECNOLOGICO SUPERIOR DE ZONGOLICA,,http://www.itszongolica.edu.mx/TecNM/,800 227 2282,,,,VERACRUZ,ZONGOLICA,95005,MX,Mexico,POMPEYO QUECHULPA PEREZ,,,,0,0,0,0,0,,,,,,2024-02-26T22:21:49.000000Z,BGCI GardenSearch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"Instituto de Ecología, A.C.",,https://www.inecol.mx/inecol/index.php/es/,(228) 842 18 00,,,,Pátzcuaro,Michoacán,61600 ,MX,Mexico,"Centro Regional del Bajío, Red de Diversidad Biológica del Occidente Mexicano",,,,0,0,0,0,0,,,,,,2024-02-26T22:21:49.000000Z,BGCI GardenSearch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Arboretum de la Universidad Autónoma de Campeche,,,,,19.84540,-90.52360,Campeche,,,MX,Mexico,"Universidad Autonoma del Carmen,",,,,0,0,0,0,0,,CARME,,,,2025-12-03T11:50:11.000000Z,BGCI GardenSearch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Botanic Garden/Arboretum,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Asociación Mexicana de Orquideologia A.C.,,http://www.buap.info,(525) 531-4349,,19.42700,-99.12750,D.F. Mexico,Distrito Federal,11320,MX,Mexico,Apartado Postal 53-123,,1976,,0,0,0,0,0,,AMO,,,,2024-02-26T22:21:49.000000Z,BGCI GardenSearch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Botanic Garden/Arboretum,,,,,,,,,,,,,,,,,,,,,,,,,,
9,EcoJardin Instituto Investigaciones en Ecosistemas y Sustentabilidad,,http://www.oikos.unam.mx/CIEco,,jmc@cieco.unam.mx,19.50000,-101.10000,Morelia,Michoacan,58190,MX,Mexico,Universidad Nacional Autónoma de México,1,2005,"Es un jardín adscrito a un centro de investigacion, de reciente creación, 5 años. Con un a partida presupuestal muy pequeña e infraestructura poco desarrollada.",0,0,0,0,0,,,,,,2024-02-26T22:21:49.000000Z,BGCI GardenSearch,,,1910,,700,,,,,,,,,,,,,,,,,,,,,,Academic,,,,,,,6,,,,,,,Botanic Garden/Arboretum,,,,,,,,,,,,5,,,,,,6,,50,,,,,,
10,EcoParque COLEF,,https://www.colef.mx/ecoparque/,,ecopar@colef.mx,32.52203,-116.97588,Tijuana,Baja California,C.P. 22427,MX,Mexico,Rampa Universidad #1,,,,0,0,0,0,0,,,,,,2025-04-25T07:14:53.000000Z,BGCI GardenSearch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Botanic Garden/Arboretum,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Banco de Semillas de la FES Iztacala,,http://ciencia.unam.mx/leer/65/Banco_de_semillas_una_apuesta_contra_la_extincion,,pdavilaa@servidor.unam.mx,19.53600,-99.20090,Tlalnepantla,Estado de Mexico,54090,MX,Mexico,Facultad de Estudios Superiores (FES) - Iztacala,,,,0,0,0,0,0,,,,,,2024-02-26T22:21:50.000000Z,BGCI GardenSearch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gene/Seed Bank,,,,,,,,,,,,,,,,,,,,,,,,,,
