region,country,name,alt_name,source
Africa,Algeria,Jardin Botanique de Universite d‘Alger,Botanical Garden of Algiers University,IABG
Africa,Algeria,Jardin Botanique du Hamma,Botanical Garden Hamma,IABG
Africa,Algeria,"Jardin Botanique, L'Unite de Recherches sur les Zones Arides",Botanical Garden of The Drylands Research Unit,IABG
Africa,Angola,"Botanic Garden of Salazar and Floristic Reserve, Instituto de Investigacao Agronomica de Angola",,IABG
Africa,Benin,Botanic Garden of Papatia,,IABG
Africa,Benin,Jardin Botanique et Zoologique de l'Université d'Abomey-Calavi（Botanical and Zoological Garden of the University of Abomey-Calavi）,,IABG
Africa,Benin,Jardin des Plantes et de la Nature（Garden of Plants and Nature）,,IABG
Africa,Botswana,National Botanical Garden,Botswana,IABG
Africa,Burkina Faso,Direction Generale des Eaux et Forets（Directorate General of Waters and Forests）,,IABG
Africa,Burundi,Jardin Botanique de l'Institut des Siences Agronomique du Burundi,Botanical Garden of Institute of Agronomic Sciences of Burundi,IABG
Africa,Burundi,Jardin Botanique de l'Universite du Burundi（Botanical Garden of the University of Burundi）,,IABG
Africa,Cameroon,Bafut Botanic Garden,,IABG
Africa,Cameroon,Limbe Botanic Garden,,IABG
Africa,Cameroon,Yaounde Botanic Garden,,IABG
Africa,Cape Verde,Jardim Botanico Nacional `L. Grandvaux Barbosa`,National Botanical Garden `L. Grandvaux Barbosa`,IABG
Africa,Congo,Centre d'Etude sur les Resources Vegetables,Study Center on Vegetable Resources,IABG
Africa,Democratic Republic of the Congo,Jardin Botanique de Kinshasa,Botanical Garden of Kinshasa,IABG
Africa,Democratic Republic of the Congo,Jardin Botanique de Kisantu,Botanical Garden of Kisantu,IABG
Africa,Democratic Republic of the Congo,Jardin Zoologique et Botanique d‘Eala,Zoological and Botanical Garden of Eala,IABG
Africa,Egypt,Aswan Botanic Garden,,IABG
Africa,Egypt,"Botanic Garden Botany Department, University of Alexandria Moharram Bey",,IABG
Africa,Egypt,El Saff Botanic Garden,,IABG
Africa,Egypt,Orman Botanic Garden,,IABG
Africa,Egypt,Qubba Botanic Garden,,IABG
Africa,Egypt,Shehab Mazhar Barageel Garden,,IABG
Africa,Egypt,Zohria Trial Gardens,,IABG
Africa,Ethiopia,Alemaya Arboretum,,IABG
Africa,Ethiopia,Botanic Garden of KCTE（Kotebe College of Teacher Education）,,IABG
Africa,Ethiopia,Gullele Botanic Garden,,IABG
Africa,Ethiopia,Phytochemical Project Botanical Garden,,IABG
Africa,Ethiopia,Shashemene Botanic Garden,,IABG
Africa,Ethiopia,Wondo Genet College Arboretum,,IABG
Africa,Gabon,Arboretum de Sibangu,,IABG
Africa,Gambia,Bakau Botanical Garden,,IABG
Africa,Ghana,Aburi Botanic Garden,,IABG
Africa,Ghana,Bunso Arboretum,,IABG
Africa,Ghana,Cape Coast University Botanic Garden,,IABG
Africa,Ghana,Legon Botanical Gardens,,IABG
Africa,Guinea,Conakry Botanical Garden,,IABG
Africa,Kenya,Brackenhurst Botanic Garden,,IABG
Africa,Kenya,Kaya Cum Arboretum,,IABG
Africa,Kenya,Kenya Agricultural Research Institute,KARI,IABG
Africa,Kenya,Kitale Nature Reserve,,IABG
Africa,Kenya,Maseno University Botanic Garden,,IABG
Africa,Kenya,Moi University Botanic Garden,,IABG
Africa,Kenya,Multiplant International Medicinal Conservation,,IABG
Africa,Kenya,Nairobi Arboretum,,IABG
Africa,Kenya,"National Museums of Kenya, Nairobi Botanic Garden",,IABG
Africa,Lesotho,Botanical Garden of National University of Lesotho,,IABG
Africa,Lesotho,Katse Botanic Garden,,IABG
Africa,Liberia,Monrovia Botanic Garden,,IABG
Africa,Madagascar,Arboretum d‘Antsokay,,IABG
Africa,Madagascar,Parc Botanique et Zoologique de Tsimbazaza,Botanical and Zoological Garden of Tsimbazaza,IABG
Africa,Malawi,Blantyre Synod Botanic Gardens,,IABG
Africa,Malawi,Lilongwe Botanic Garden,,IABG
Africa,Malawi,National Herbarium & Botanic Gardens of Malawi,,IABG
Africa,Mauritius,Sir Seewoosagur Ramgoolam Botanic Garden,,IABG
Africa,Mauritius,SSR Botanical Garden of Curepipe,,IABG
Africa,Morocco,Jardin Botanique de l'I.A.V.,Botanical Garden of I.A.V.,IABG
Africa,Morocco,Jardin Majorelle,Majorelle Garden,IABG
Africa,Morocco,Les Jardins Exotiques de Bouknadel,Exotic Gardens of Bouknadel,IABG
Africa,Mozambique,Eduardo Mondlane University Botanical Garden,,IABG
Africa,Mozambique,Instituto Nacional Investigacao Agronomica (INIA) Botanical Garden,,IABG
Africa,Mozambique,Tunduru Botanical Garden,,IABG
Africa,Namibia,National Botanic Garden of Namibia,,IABG
Africa,Nigeria,Abubakar Tafawa Balewa University Garden,,IABG
Africa,Nigeria,Ahmadu Bello University Botanic Gardens,,IABG
Africa,Nigeria,Botanical Garden of University of Lagos,,IABG
Africa,Nigeria,Botanical garden of Usmanu Danfodiyo University,,IABG
Africa,Nigeria,Calabar Botanic Garden and Conservation Centre,,IABG
Africa,Nigeria,CPES Biological Garden of Federal University of Technology,,IABG
Africa,Nigeria,Forest Research Institute of Nigeria (FRIN) Medicinal and Herb Gardens,,IABG
Africa,Nigeria,"Kano Botanical Garden, Bayero University",,IABG
Africa,Nigeria,Murtala Muhammed Memorial Garden,,IABG
Africa,Nigeria,Nigeria Montane Forest Project,,IABG
Africa,Nigeria,Nigeria Natural Medicine Development Agency (NNMDA) Medicinal/ Experimental Farm-Victoria Island,,IABG
Africa,Nigeria,Sarius Palmetum and Botanical Garden,,IABG
Africa,Nigeria,Shodex Botanic Garden,,IABG
Africa,Nigeria,The University of Ibadan Botanical Gardens,,IABG
Africa,Nigeria,University of Calabar Botanic Garden,,IABG
Africa,Nigeria,University of Nigeria Botanical Garden,,IABG
Africa,Nigeria,University of Port Harcourt Botanical Garden,,IABG
Africa,Reunion Island,Arboretum Office National des Forets,,IABG
Africa,Reunion Island,"Botanic Garden ""Jardin de l'Etat""",,IABG
Africa,Reunion Island,Conservatoire Botanique National de Mascarin,,IABG
Africa,Rwanda,Arboretum de Ruhande,,IABG
Africa,Rwanda,Bukavu Arboretum,,IABG
Africa,Saint Helena,Clifford Arboretum,,IABG
Africa,Saint Helena,Jardim Botanico do Bom Sucesso,Bom Sucesso Botanical Garden,IABG
Africa,Senegal,Jardin Botanique de la Faculte des Sciences,,IABG
Africa,Senegal,Jardin d'Experimentation des Plantes Utiles,J.E.P.U.,IABG
Africa,Seychelles,National Botanic Gardens Foundation,,IABG
Africa,Sierra Leone,Fourah Bay College Botanical Gardens,,IABG
Africa,South Africa,Beechwood Gardens,,IABG
Africa,South Africa,Brenthurst Garden,,IABG
Africa,South Africa,Drakensberg Botanic Garden,,IABG
Africa,South Africa,Durban Botanic Gardens,,IABG
Africa,South Africa,Free State National Botanical Garden,,IABG
Africa,South Africa,Hantam National Botanical Garden,,IABG
Africa,South Africa,Harold Porter National Botanical Garden,,IABG
Africa,South Africa,Johannesburg Botanical Garden,,IABG
