city,col_2_comments,coordinates,country,founded,name,notes,region,source,source_url,wikipedia_url
,,,Canada,,Calgary Zoological Gardens,"Calgary Zoological Gardens,Calgary",,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_Canada,https://en.wikipedia.org/wiki/Calgary_Zoological_Gardens
,,,Canada,,Devonian Gardens (Calgary),"Devonian Gardens (Calgary), Calgary",,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_Canada,https://en.wikipedia.org/wiki/Devonian_Gardens_(Calgary)
,,,Canada,,Citadel Theatre,"Lee Pavilion located within theCitadel Theatre, Edmonton",,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_Canada,https://en.wikipedia.org/wiki/Citadel_Theatre
,,,Canada,,Muttart Conservatory,"Muttart Conservatory, Edmonton",,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_Canada,https://en.wikipedia.org/wiki/Muttart_Conservatory
,,,Canada,,Nikka Yuko Japanese Garden,"Nikka Yuko Japanese Garden,Lethbridge",,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_Canada,https://en.wikipedia.org/wiki/Nikka_Yuko_Japanese_Garden
,,,Canada,,University of Alberta Botanic Garden,"University of Alberta Botanic Garden,Devon, Alberta",,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_Canada,https://en.wikipedia.org/wiki/University_of_Alberta_Botanic_Garden
,,,Canada,,Abkhazi Garden,"Abkhazi Garden, Victoria",,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_Canada,https://en.wikipedia.org/wiki/Abkhazi_Garden
,,,Canada,,Bloedel Floral Conservatory,"Bloedel Floral Conservatory,Vancouver",,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_Canada,https://en.wikipedia.org/wiki/Bloedel_Floral_Conservatory
,,,Canada,,Butchart Gardens,"Butchart Gardens,Victoria",,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_Canada,https://en.wikipedia.org/wiki/Butchart_Gardens
,,,Canada,,Darts Hill Garden Park,"Darts Hill Garden Park, Surrey",,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_Canada,https://en.wikipedia.org/wiki/Darts_Hill_Garden_Park
,,,Canada,,Nitobe Memorial Garden,"Nitobe Memorial Garden, Vancouver",,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_Canada,https://en.wikipedia.org/wiki/Nitobe_Memorial_Garden
,,,Canada,,Park and Tilford Gardens,"Park and Tilford Gardens,North Vancouver",,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_Canada,https://en.wikipedia.org/wiki/Park_and_Tilford_Gardens
,,,Canada,,Queen Elizabeth Park,"Queen Elizabeth ParkandBloedel Floral Conservatory, Vancouver",,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_Canada,"https://en.wikipedia.org/wiki/Queen_Elizabeth_Park,_British_Columbia"
