source,osm_id,osm_type,tourism,name,lat,lon,region,electric_hookup,water_hookup,sewer,hookup,caravans,motorhome,capacity,fee,phone,website,opening_hours,country,addr_city,all_tags
OpenStreetMap,33952799,node,caravan_site,Grand Codroy RV Camping,47.8281865,-59.1927891,north_america,,,,,,,,,,,,,,"{""created_by"": ""JOSM""}"
OpenStreetMap,33980452,node,caravan_site,Blue Ponds RV Park,48.7832142,-58.0862421,north_america,,,,,,,,,,,,,,"{""created_by"": ""JOSM""}"
OpenStreetMap,34053475,node,camp_site,TriPonds Family Camp Resort,42.5919866,-85.9070773,north_america,,,,,yes,,,yes,+1-269-673-4740,https://triponds.com,09:00-21:00,,Allegan,"{""access"": ""customers"", ""addr:housenumber"": ""3687"", ""addr:postcode"": ""49010"", ""addr:state"": ""MI"", ""addr:street"": ""Dumont Road"", ""dog"": ""yes"", ""reservation"": ""required"", ""source"": ""local knowledge;streetlevel imagery;aerial imagery"", ""static_caravans"": ""no"", ""tents"": ""yes""}"
OpenStreetMap,90569456,node,caravan_site,Hillsdale Mobile Home Park,38.680801,-121.358535,north_america,,,,,,,,,,,,,Sacramento,"{""addr:housenumber"": ""6300"", ""addr:postcode"": ""95842"", ""addr:state"": ""CA"", ""addr:street"": ""Roseville Road""}"
OpenStreetMap,143275969,node,caravan_site,Deer Spring RV Park,32.880373,-105.488575,north_america,,,,,,,,yes,+1-575-687-3464,https://www.deerspringrvpark.net/,,,Mayhill,"{""addr:housenumber"": ""2112"", ""addr:postcode"": ""88339"", ""addr:state"": ""NM"", ""addr:street"": ""Rio Penasco Road"", ""internet_access"": ""wlan"", ""power_supply"": ""yes""}"
OpenStreetMap,150934021,node,caravan_site,Trestle Creek,48.2832625,-116.3507381,north_america,,,,,,,,,,,,,,"{""ele"": ""636"", ""gnis:feature_id"": ""398260""}"
OpenStreetMap,150973839,node,caravan_site,Campland on the Bay RV resort and campground,32.7958821,-117.2242026,north_america,,,,,,,,,,,,,,"{""ele"": ""4"", ""gnis:feature_id"": ""1869199""}"
OpenStreetMap,150974292,node,caravan_site,Outback Mobile Home Settlement,48.4858922,-114.533435,north_america,,,,,,,,,,,,,,"{""gnis:feature_id"": ""1795857""}"
OpenStreetMap,151639421,node,caravan_site,Robinsons Trailer Park,45.1961939,-109.2478841,north_america,,,,,,,,,,,,,,"{""ele"": ""1682"", ""gnis:feature_id"": ""1726551""}"
OpenStreetMap,151912924,node,caravan_site,Westerner Trailer Park,37.8643579,-109.3432828,north_america,,,,,,,,,,,,,,"{""ele"": ""2122"", ""gnis:feature_id"": ""1449177""}"
OpenStreetMap,158625594,node,caravan_site,Indian Acres,39.3869587,-75.9152714,north_america,,,,,,,,,,https://www.indianacres.net/,,,,"{""ele"": ""18"", ""gnis:feature_id"": ""589319"", ""long_name"": ""Indian Acres of Chesapeake Bay"", ""place"": ""hamlet""}"
