FacilityID,FacilityName,FacilityLatitude,FacilityLongitude,FacilityDescription,FacilityPhone,FacilityEmail,FacilityReservationURL,FacilityTypeDescription,Reservable,StayLimit,Keywords,LastUpdatedDate,Activities
257029,Temple Mountain Campground East,38.65677222,-110.661225,"""Temple Mountain east Campground also known as the “People Pasture” is located just west of the turnoff to Goblin Valley State Park.   This campground has multiple parking areas for large recreational vehicles, fire rings, pit toilets and kiosk with map information.   This is a first come first serve campground that currently has no fees for use.   Please recreate responsible and stay on designated routes. .""",435-636-3600,utprmail@blm.gov ,,Campground,False,,,2026-02-25,
232713,SUGAR LOAF,35.5458333,-92.2722222,"<h2>Overview</h2> <p>Sugar Loaf Park is located on Greers Ferry Lake in the beautiful Ozark Mountains of north-central Arkansas. The environment provides the ideal location for family camping, fishing, boating and hiking.</p> <h2>Recreation</h2> Greers Ferry Lake is an outdoor enthusiasts' dream, with boating, sailing, water skiing, swimming, scuba diving and fishing opportunities. <br/> <br/> Sugar Loaf Mountain Island National Nature Trail is adjacent to the campground, on an island within the",501-654-2267,,,Campground,True,,"SUG1,GREERS FERRY LAKE,GREERS FERRY LAKE",2026-03-11,
251846,ALTO PIT OHV CAMPGROUND,34.59,-112.5591667,"<h2>Overview</h2> <p>Alto Pit OHV Campground is located at the foot of Granite Mountain Wilderness Area, at an elevation of 6,200 feet. The off-highway trail system within the recreation area draws enthusiasts of all ages with degrees of skills that prove challenging and enjoyable for everyone alike. To make reservations click on the availability button to the right to book this site or call 1 (877) 444-6777. For general campground questions contact the Bradshaw Ranger District at 1 (928) 443-80",1 (877) 444-6777,www.fs.fed.us/r3/prescott,,Campground,True,,Alto Pit,2026-02-25,
10124956,Cherokee (Arkansas River),35.13052,-92.786813,"<h2>Overview</h2> <p><strong>PLEASE NOTE: This is Cherokee Park on the Arkansas River in Morrilton, Arkansas. This is not Cherokee Park at Greers Ferry. </strong></p> <p>You can download a park map <a href=""https://drive.google.com/file/d/19dAlirx6DyeSkrIvjWKEoEkqpSO0safV/view?usp=sharing"" rel=""nofollow"">HERE</a>   You can download a Customer Comment card <a href=""https://drive.google.com/file/d/1A6JYmFKfII8ioSCML7q5iJnpHGPUSu5n/view?usp=sharing"" rel=""nofollow"">HERE</a> <a href=""https://drive.go",501-340-1003,CherokeeParkAR@gmail.com,,Campground,True,,Cherokee Park,2026-02-25,
240400,Island Lake Campground,44.94074,-109.53995,"<p>This beautiful high mountain lake campground has 21 newly remodeled sites. There is always plenty to do at this campground; hiking, fishing, wildlife viewing, and beautiful wildflowers galore.</p><p> 16-day stay limit</p><p>Water: Available</p><p>This site is not accessible to persons with mobility impairments.</p><p>No cell service</p><p>Notes: Maximum spur 32 feet. Boat ramp closed until winter ice clears.</p><p>Fish Your National Forests: This site can be accessed by Passenger Car; Fish av",,,,Campground,False,,,2026-02-25,
232711,SPRINGFIELD,34.4463889,-82.8216667,"<h2>Overview</h2>    Springfield Campground is one of Hartwell’s most popular camping destinations consisting of 60 acres of primarily Virginia pine and some mixed hardwoods. The area presently offers 1 gatehouse/entrance, 2 park attendant campsites, 79 public campsites with full water and electric hookups, 6 comfort stations (4 with showers), 1 dump station, 1 boat ramp, 1 courtesy dock, 3 playgrounds, 1 designated swim area/beach, and associated paved roads and parking areas throughout. <h2>Re",888-893-0678,,,Campground,True,,"SPRF,HARTWELL LAKE PROJECT",2026-03-11,
248053,Pulaski County Park,37.06614979,-84.70305779,"This recreation area is part of <a href=""http://www.recreation.gov/recreationalAreaDetails.do?contractCode=NRSO&recAreaId=391&agencyCode=130"" rel=""nofollow"">Lake Cumberland</a>",,,,Facility,False,,,2026-02-25,
254024,Wild Rivers Recreation Area,36.680806,-105.666666,"<p>The Wild Rivers Recreation Area is located within the Rio Grande Del Norte National Monument and along the Rio Grande Wild and Scenic River and Red River Wild and Scenic River. Here visitors may experience the beauty of an 800-foot deep canyon sliced into volcanic flows by the Rio Grande (Spanish for Large River) and Red River where they come together.</p><p>Located in the high plains of northern New Mexico, this area is rich with history, rugged beauty, and enticing recreational opportunitie",575-271-5243,,,Facility,False,,,2026-06-05,
251894,EAST LEMOLO CAMPGROUND,43.310697,-122.162651,"<h2>Overview</h2> East Lemolo is on the banks of Lemolo Lake, the highest reservoir on the North Umpqua River at an elevation of 4,150 feet.<h2>Recreation</h2> Boating, fishing, swimming, kayaking, canoeing and water skiing top the list of recreational activities at the campground. Lemolo Lake provides outdoor enthusiasts with a multitude of recreational opportunities year round.  The forested shoreline and mountainous backdrop provide a perfect setting for both swimmers braving the lake's cold,",541-498-2531,joy@westrecllc.com,,Campground,True,,East Lemola Campground,2026-03-09,
250019,PORTAL BUNKHOUSE,31.898555546,-109.162348894,"<h2>Overview</h2> The Portal Bunkhouse is a two-room cabin located one mile west of Portal, Arizona. Constructed in 1933 by the Civilian Conservation Corps, the Bunkhouse is listed on the National Register of Historic Places. The structure is one of the finest remaining examples of river-cobble masonry construction from that era.<h2>Recreation</h2> Cave Creek Canyon is located on the eastern slope of the Chiricahua Mountains in southeastern Arizona, about 2.5 hours from Tucson. It is world-renow",(520) 364-3468,,,Campground,True,,PORTAL BUNKHOUSE,2026-03-11,
