source,id,name,lat,lon,address,city,region,postal_code,phone,website,rating,reviews_count,price_low,price_high,electric_hookups,water_hookups,sewer_hookups,thirty_amp,fifty_amp,max_vehicle_length_ft,big_rig_friendly,pull_through,back_in,sanitary_dump,showers,wifi,pets_allowed,reservable,reservation_url,accommodation_rv,accommodation_tent,num_sites
TheDyrt,0,Hocking Hills Camping,39.435117,-82.533587,26633 Main St,Logan,Ohio,43138,,https://thehockinghills.org,0.0,0,26.00,150.00,True,True,True,,True,50,True,True,True,True,True,,True,True,https://reserveohio.com/OhioCampWeb/Facilities/SearchViewUnitAvailabity.aspx,True,True,
TheDyrt,2,Point Beach State Forest,44.21200035,-87.51500055,9400 County Highway O,Two Rivers,Wisconsin,54241,+19207947480,https://dnr.wisconsin.gov/topic/parks/name/pointbeach/,4.5,4,0.00,0.00,True,True,True,,,,True,True,,True,True,False,True,True,,True,True,
TheDyrt,3,Kohler-Andrae State Park,43.67225396,-87.71790555,1020 Beach Park Lane,Sheboygan,Wisconsin,53081,+19204514080,http://dnr.wi.gov/topic/parks/name/kohlerandrae/,4.553191489361702,47,0.00,0.00,True,True,True,,,,True,True,True,True,True,False,True,True,,True,True,
TheDyrt,4,Lake Livingston-Onalaska KOA,30.81112608,-95.12778597,15152 US Highway 190 W,Onalaska,Texas,77360,+19366463824,https://koa.com/campgrounds/onalaska,0.0,0,42.00,58.00,True,True,True,,,,True,True,True,True,True,True,True,True,https://koa.com/campgrounds/onalaska/reserve,True,True,
TheDyrt,5,Big Sarvice Corral Campground,44.83451814,-120.03536036,,Fossil,Oregon,97830,+15414682121,https://home.nps.gov/joda/planyourvisit/campgrounds.htm,3.0,1,0.00,0.00,True,True,,,,,,False,False,,True,,True,,,True,True,
TheDyrt,6,Kirby Cove Campground — Golden Gate National Recreation Area,37.84035,-122.4888889,"The access gate is located on Conzelman Road next to the Battery Spencer overlook parking area, within the Marin Headlands.",Sausalito,California,94965,+14153311540,https://www.recreation.gov/camping/campgrounds/232491,4.533333333333333,15,40.00,75.00,False,False,False,,,15,False,False,False,False,False,False,False,True,https://www.recreation.gov/camping/campgrounds/232491,True,True,
TheDyrt,7,Honey Bear Campground,36.19571687,-81.71032282,229 Honey Bear Campground Road,Boone,North Carolina,28607,+18289634586,https://www.honeybearcampground.com/,4.05,20,0.00,0.00,True,True,True,,,,True,True,True,True,True,True,True,True,,True,True,
TheDyrt,8,Fremont RV Campground,44.26628886,-88.89901497,,Fremont,Wisconsin,54940,+18887071477,https://www.rvonthego.com/wisconsin/fremont-rv-campground/?utm_campaign=TheDyrtListings&utm_medium=directory&utm_source=TheDyrt,3.7222222222222223,18,0.00,0.00,True,True,True,,,,True,True,True,True,True,True,True,True,https://thousandtrails.com/wisconsin/fremont-rv-campground/?utm_source=thedyrt&utm_medium=directory&utm_campaign=TheDyrtListings,True,True,
TheDyrt,9,Harbour Village Campground & Water Park,44.95422153614796,-87.33657236379534,5840 WI-42,Sturgeon Bay,Wisconsin,54235,+19207430274,https://harbourvillageresort.net/,4.0,4,0.00,0.00,,,,,,,,False,False,,,,True,,,True,True,
TheDyrt,10,Tranquil Timbers,44.84799587,-87.40443255,3668 Grondin Rd,Sturgeon Bay,Wisconsin,54235,+18887071477,https://thousandtrails.com/wisconsin/tranquil-timbers-camping-resort/?utm_source=thedyrt&utm_medium=directory&utm_campaign=TheDyrtListings,3.5,10,42.00,217.00,True,True,True,,,,True,True,True,True,True,True,True,True,https://thousandtrails.com/wisconsin/tranquil-timbers-camping-resort/?utm_source=thedyrt&utm_medium=directory&utm_campaign=TheDyrtListings,True,,
