osm_id,osm_type,name,lat,lon,name_en,alt_name,website,phone,email,opening_hours,addr_city,addr_country,addr_street,addr_postcode,wikipedia,wikidata,fee,access,operator,description,leisure,garden_type
129965574,node,Botanischer Garten,51.2022099,6.4322788,,,,,,,,,,,,,,,,,garden,botanical
282669367,node,Jardin Limodore,45.3692067,0.4614687,,,,,,,,,,,,,,,,,garden,botanical
345456240,node,Karoo Botanical Gardens,-33.616727,19.4503686,,,,,,,,,,,,,,,,,nature_reserve,botanical
354390569,node,Dubuque Arboretum and Botanical Gardens,42.5328702,-90.7165218,,,https://dubuquearboretum.net/,,,,,,,,en:Dubuque Arboretum and Botanical Gardens,Q5311168,,,,,garden,botanical
367449694,node,Estate Saint Peter Botanical Garden,18.3543583,-64.9391067,,,,,,,,,,,,,,,,,garden,botanical
368866375,node,수목원,37.609503,126.671161,Arboretum,,,,,,,,,,,,,,,,garden,botanical
368869137,node,화니식물원,35.171257,126.911214,Hwani Florist,,,,,,,,,,,,,,,,garden,botanical
368869145,node,무등식물원,35.1557282,126.8174707,Mudeung Florist,,,,,,,,,,,,,,,,garden,botanical
368869873,node,광명식물원,35.1564002,126.8169359,Gwangmyeong Florist,,,,,,,,,,,,,,,,garden,botanical
368869905,node,전일식물원,35.181595,126.91201,Jeonil Florist,,,,,,,,,,,,,,,,garden,botanical
368870504,node,가나식물원,35.1555984,126.8168262,Gana Florist,,,,,,,,,,,,,,,,garden,botanical
376693486,node,Dufthagen,59.9176567,10.7727186,The Aromatic Garden,,https://www.nhm.uio.no/utstillinger/botanisk-hage/avdelinger/dufthagen/,,,,,,,,,,no,,,,garden,botanical
439149520,node,Andromeda Botanic Gardens,13.2078885,-59.517838,,,,,,Tu-Su 10:00-16:00,,,,,en:Andromeda Botanic Gardens,Q2169130,,,,,garden,botanical
499122857,node,Botanischer Blindengarten,51.1054395,13.9226175,,,,,,"May 01-Oct 31: We,Sa 13:00-18:00; PH We,Sa 13:00-18:00",Radeberg,DE,Pillnitzer Straße,01454,de:Botanischer Blindengarten Radeberg,Q15107882,,,Taubblindendienst der Evangelischen Kirche in Deutschland,Botanischer Garten der für taubblinde und blinde Menschen gestaltet ist,garden,botanical
585172454,node,Jardin Botanico de Guayaquil,-2.0799968,-79.9093556,,,,,,,,,,,,,,,Municipio de Guayaquil,,garden,botanical
806229834,node,满洲里西山植物园,49.6004015,117.4152306,Manzhouli Xishan Botanical Garden,,,,,,,,,,,,,yes,,,garden,botanical
