wikidata_id,name,country,latitude,longitude,website,founded,area_ha,wikidata_url,source
Q24433,Gibraltar Botanic Gardens,United Kingdom,36.1313,-5.3511,http://gibraltargardens.gi/,1816-01-01,,http://www.wikidata.org/entity/Q24433,Wikidata
Q318081,Botanischer Garten Wuppertal,Germany,51.26027778,7.16055556,,,,http://www.wikidata.org/entity/Q318081,Wikidata
Q378480,Jardin des Olfacties,France,46.6968,-1.7628,http://www.lejardindesolfacties.com,,,http://www.wikidata.org/entity/Q378480,Wikidata
Q301787,University Museum of Bergen,Norway,60.387622222,5.321580555,https://www.uib.no/en/universitymuseum,1825-01-01,,http://www.wikidata.org/entity/Q301787,Wikidata
Q429533,Botanicactus,Spain,39.3423,3.06466389,,1989-05-20,,http://www.wikidata.org/entity/Q429533,Wikidata
Q582317,jardin botanique de Foncaude,France,42.939166,2.914614,http://lejardinbotaniquedefoncaude.e-monsite.com/,1991-01-01,,http://www.wikidata.org/entity/Q582317,Wikidata
Q319334,Botanischer Garten Frankfurt am Main,Germany,50.1272,8.65833,http://www.botanischergarten-frankfurt.de/,1774-01-01,,http://www.wikidata.org/entity/Q319334,Wikidata
Q328081,Rosarium Uetersen,Germany,53.6838,9.66981,,1909-01-01,,http://www.wikidata.org/entity/Q328081,Wikidata
Q323980,Botanischer Garten Marburg,Germany,50.803,8.80938,,,,http://www.wikidata.org/entity/Q323980,Wikidata
Q220207,Hong Kong Zoological and Botanical Gardens,People's Republic of China,22.277777777,114.156388888,https://www.hkzbg.gov.hk/,,,http://www.wikidata.org/entity/Q220207,Wikidata
Q225403,Botanischer Garten Rombergpark,Germany,51.4807,7.4684,,,,http://www.wikidata.org/entity/Q225403,Wikidata
Q301787,University Museum of Bergen,Norway,60.387622222,5.321580555,http://www.uib.no/universitetsmuseet,1825-01-01,,http://www.wikidata.org/entity/Q301787,Wikidata
Q195786,Prague Botanical Garden,Czech Republic,50.1187,14.4154,http://www.botanicka.cz/,1969-01-01,,http://www.wikidata.org/entity/Q195786,Wikidata
Q577644,Ladd Arboretum,United States,42.0568,-87.7006,,,,http://www.wikidata.org/entity/Q577644,Wikidata
Q289277,Kirstenbosch National Botanical Garden,South Africa,-33.9875,18.4325,,1913-01-01,,http://www.wikidata.org/entity/Q289277,Wikidata
Q200711,"Lalbagh Botanical Garden, Bangalore",India,12.95,77.59,,,,http://www.wikidata.org/entity/Q200711,Wikidata
Q322634,Bonn Botanical Garden,Germany,50.7247,7.09167,http://www.botgart.uni-bonn.de/,,,http://www.wikidata.org/entity/Q322634,Wikidata
Q45242,Rio de Janeiro Botanical Garden,Brazil,-22.9675,-43.223889,http://www.jbrj.gov.br,1808-06-13,,http://www.wikidata.org/entity/Q45242,Wikidata
Q153829,Alter Botanischer Garten,Germany,48.141842066,11.564299402,,1814-01-01,,http://www.wikidata.org/entity/Q153829,Wikidata
Q533156,Villa Carlotta,Italy,45.9864,9.230838888,https://www.villacarlotta.it/,1690-01-01,,http://www.wikidata.org/entity/Q533156,Wikidata
Q533156,Villa Carlotta,Italy,45.9864,9.230838888,https://www.villacarlotta.it/en/,1690-01-01,,http://www.wikidata.org/entity/Q533156,Wikidata
Q533156,Villa Carlotta,Italy,45.9864,9.230838888,https://www.villacarlotta.it/,1690-01-01,,http://www.wikidata.org/entity/Q533156,Wikidata
Q533156,Villa Carlotta,Italy,45.9864,9.230838888,https://www.villacarlotta.it/en/,1690-01-01,,http://www.wikidata.org/entity/Q533156,Wikidata
Q570148,Old Botanical Garden of Göttingen University,Germany,51.5382,9.9367,http://www.altgart.uni-goettingen.de/,1736-01-01,,http://www.wikidata.org/entity/Q570148,Wikidata
